lastUpdated,title,url
" This page was last edited on 23 May 2024, at 17:32",Welcome to ,https://en.wikipedia.org/wiki/Main_Page
" This page was last edited on 10 July 2024, at 04:13", (1982 film),https://en.wikipedia.org/wiki/Diner_(1982_film)
" This page was last edited on 31 August 2024, at 01:42",Animal House,https://en.wikipedia.org/wiki/National_Lampoon%27s_Animal_House
" This page was last edited on 28 August 2024, at 20:31",Footloose,https://en.wikipedia.org/wiki/Footloose_(1984_film)
" This page was last edited on 11 June 2023, at 23:10",The Last Good Time,https://en.wikipedia.org/wiki/The_Last_Good_Time
" This page was last edited on 18 May 2024, at 20:36",Bill Moyers Journal,https://en.wikipedia.org/wiki/Bill_Moyers_Journal
" This page was last edited on 14 August 2024, at 23:58", (film),https://en.wikipedia.org/wiki/Capote_(film)
" This page was last edited on 30 August 2024, at 15:44",Law & Order,https://en.wikipedia.org/wiki/Law_%26_Order
" This page was last edited on 22 July 2024, at 04:46", (film),https://en.wikipedia.org/wiki/I_Wanna_Hold_Your_Hand_(film)
" This page was last edited on 3 August 2024, at 06:34",David Makes Man,https://en.wikipedia.org/wiki/David_Makes_Man
